Year,GDP_Growth,Inflation,Debt_GDP,FDI_GDP,Population,Exchange_Rate,Copper_Price
1964,12.21404802,,,,3577017,0.714286,0.4032326693227096
1965,16.64745596,,,,3692086,0.714286,0.489251012145749
1966,-5.570309809,,,,3812003,0.714286,0.6338212000000003
1967,7.919696512,,,,3936343,0.714286,0.4918395161290324
1968,1.248329982,,,,4065593,0.714286,0.5079804878048775
1969,-0.436915823,,,,4197116,0.714286,0.6194706122448982
1970,4.797112903,,,0.532206515,4321718,0.714286,0.6210475806451617
1971,-0.086039551,,,0.50929698,4442525,0.714285999,0.5210450592885376
1972,9.208865142,,,1.548800559,4569309,0.000714317,0.5129517928286887
1973,-0.962048756,,,1.314570449,4702693,0.000652397,0.595533730158729
1974,6.428158549,,,1.305401738,4842746,0.00064346,0.7714252964426894
1975,-2.269328924,,,1.555673369,4990086,0.00064323,0.6458667984189742
1976,6.220975267,,,1.13020746,5143842,0.000700984,0.693036758893279
1977,-4.564236174,,,1.70794944,5302480,0.000789728,0.6605059523809509
1978,0.553763844,,,1.373160943,5465374,0.000800667,0.6563888888888884
1979,-3.023931031,,,1.049666717,5631728,0.000793333,0.918607114624505
1980,3.035622351,,,1.588351395,5802833,0.000788667,1.008752173913044
1981,6.167957407,,,-0.958053595,5983289,0.000869583,0.8413245059288531
1982,-2.812782629,,,1.00746113,6178637,0.00092875,0.727045454545454
1983,-1.966689298,,,0.773852004,6381038,0.001259,0.7646047430830039
1984,-0.336834899,,,0.632464801,6580490,0.001813188,0.6664873517786557
1985,1.615310368,,,2.286394686,6780953,0.003139642,0.6681577075098818
1986,0.723893956,55.82822086,,1.700298625,6986471,0.007788449,0.6584845849802359
1987,2.675661713,47.04724409,,3.288818807,7191282,0.009519475,0.8254264822134395
1988,6.280749009,51.00401606,,2.502093023,7391440,0.008266025,1.2033837944664028
1989,-1.023501789,123.4042553,,4.09795729,7589216,0.013813696,1.3114750000000002
1990,-0.481072028,107.0238095,244.3805364,6.164126081,7786169,0.030289108,1.2328735177865613
1991,-0.036133384,97.64232317,277.530308,1.015752546,7981650,0.064639708,1.0897905138339914
1992,-1.730922174,165.706527,164.7007536,1.413844625,8176680,0.172213783,1.0719555118110238
1993,6.797274049,183.3120415,161.7860769,9.604383283,8373921,0.452762667,0.9144703557312255
1994,-8.625441952,54.60132184,149.2098899,1.093850704,8576269,0.669370622,1.114642857142857
1995,2.897668893,34.92958742,155.2792246,2.810624276,8785763,0.864119167,1.3634365079365065
1996,6.218546489,43.073098,175.9344907,3.533283091,9004053,1.2079,1.0595275590551165
1997,3.814007497,24.41872157,150.0725489,4.819569986,9237063,1.3144975,1.0358102766798414
1998,-0.385746146,24.45845635,161.2321579,5.596790361,9482408,1.862069167,0.7507142857142854
1999,4.650189746,26.78769668,,4.758708663,9740005,2.388019167,0.721992063492063
2000,3.897322943,26.03041179,,3.37996208,10017631,3.110844167,0.8394146825396833
2001,5.316868274,21.39378218,,3.541386708,10325185,3.610935,0.7247472222222224
2002,4.50601428,22.23334464,,7.114941362,10647949,4.398595,0.7164166666666666
2003,6.944973982,21.40157839,,7.078931443,10983595,4.733271046,0.8110396825396824
2004,7.032395115,17.96778911,,5.85168864,11338198,4.778875386,1.292115476190476
2005,7.235599007,18.3244397,,4.284032189,11718819,4.465,1.6850218253968254
2006,7.903694445,9.019572472,,4.827128722,12129553,3.601666667,3.09960358565737
2007,8.352436244,10.6573496,,9.418111673,12565085,4.001666667,3.229321115537849
2008,7.773895815,12.44557935,,5.240508113,13021324,3.745,3.1313241106719367
2009,9.220348406,13.39525463,,4.532779776,13490389,5.045,2.3641825396825396
2010,10.29822332,8.501761334,17.32151148,8.533196438,13965594,4.7975,3.4299166666666654
2011,5.569252193,6.429396811,18.04990936,4.725161569,14437796,4.861666667,4.001228174603178
2012,7.597381049,6.575899708,23.48891928,6.789381241,14913629,5.1475,3.61201388888889
2013,5.05753695,6.977676055,24.22399415,7.489325056,15398997,5.396483333,3.337426587301585
2014,4.693283164,7.806875536,44.39586759,5.555427918,15895315,6.154166667,3.118414682539683
2015,2.920375112,10.11059289,49.40734735,7.44741669,16399089,8.631666667,2.5028234126984117
2016,3.755100317,17.86973008,46.43289359,3.162519748,16914423,10.3075,2.2039531249999995
2017,3.525862771,6.577311542,52.28094184,4.280501171,17441320,9.5175,2.815612062256809
2018,4.034493897,7.494571927,59.71222117,1.552318867,17973569,10.45833333,2.9358582677165335
2019,1.441306026,9.150316443,61.93011737,2.350919043,18513839,12.89,2.7218488095238094
2020,-2.785055065,15.73306047,103.5431524,1.351905774,19059395,18.34409265,2.8012857707509875
2021,6.234922047,22.02076762,71.41117617,1.784078461,19603607,20.01848659,4.244539607843136
2022,5.211223604,10.99320392,,-0.223286755,20152938,16.93759433,3.9846075757575767
2023,5.367942855,10.88453169,,2.324653356,20723965,20.21201787,3.8730455252918317
2024,3.820048255,14.98562627,,9.324377897,21314956,26.16641878,4.215200000000003
